Episodes,B2,S3,B3,B1,S2,S1,episode_len
2852,10.94125,9.130625,10.3125,10.3125,9.63625,9.666875,1.55
2874,10.920625,9.254375,10.340625,10.306875,9.621875,9.555625,1.65
2905,10.87375,9.26125,10.41125,10.306875,9.543125,9.60375,1.4
2915,10.956875,9.235625,10.389375,10.306875,9.54875,9.5625,1.57
2916,10.846875,9.145625,10.389375,10.306875,9.54875,9.5625,1.86
2923,10.866875,9.140625,10.36125,10.27875,9.576875,9.575625,2.29
2936,10.90625,9.14625,10.305,10.205625,9.588125,9.64875,2.61
2956,10.945625,9.01,10.310625,10.171875,9.58875,9.773125,2.67
2981,10.96625,8.906875,10.261875,10.1775,9.61,9.8775,2.62
2999,11.0075,8.9825,10.219375,10.15125,9.69375,9.745625,2.74
3001,10.938125,8.99625,10.219375,10.15125,9.69375,9.60125,3.24
3020,11.031875,9.0725,10.370625,10.17375,9.666875,9.484375,2.54
3040,11.076875,9.2075,10.449375,10.28625,9.65125,9.12875,2.33
3060,11.056875,9.37375,10.46625,10.303125,9.63375,8.96625,2.32
3080,11.056875,9.4975,10.520625,10.303125,9.606875,8.815,2.45
3088,11.056875,9.531875,10.520625,10.303125,9.606875,8.780625,2.5
3100,11.021875,9.47,10.54875,10.329375,9.545625,8.884375,2.58
3101,11.131875,9.463125,10.54875,10.22625,9.545625,8.884375,2.58
3104,11.021875,9.500625,10.5375,10.209375,9.54,8.790625,2.94
3106,10.801875,9.320625,10.515,10.209375,9.54,8.813125,3.5
3107,10.691875,9.3275,10.51625,10.20375,9.53875,8.721875,3.78
3110,10.581875,9.34125,10.50625,10.209375,9.533125,8.628125,4.29
3111,10.471875,9.348125,10.500625,10.209375,9.533125,8.536875,4.57
3115,10.471875,9.348125,10.478125,10.126875,9.533125,8.441875,5.03
3118,10.471875,9.315625,10.46125,10.16625,9.533125,8.451875,5.37
3119,10.361875,9.3225,10.444375,10.160625,9.55,8.360625,5.65
3123,10.130625,9.3475,10.4125,10.149375,9.570625,8.189375,6.22
3126,10.0625,9.3475,10.391875,10.149375,9.59125,8.2575,6.25
3128,9.89,9.3475,10.378125,10.149375,9.605,8.23,6.66
3134,9.74625,9.3475,10.37125,10.149375,9.611875,8.17375,7.05
