Episodes,B3,B2,Sellers,B1,episode_len
6464,14.389375,12.51125,18.37875,13.520625,13.37
6477,14.341875,12.50875,18.36875,13.580625,13.39
6496,14.285625,12.62125,18.273125,13.62,13.25
6509,14.285625,12.638125,18.423125,13.653125,13.57
6520,14.095625,12.559375,18.400625,13.344375,13.99
6534,14.090625,12.63375,18.379375,13.49625,13.97
6547,14.06125,12.67875,18.399375,13.660625,14.31
6563,13.86875,12.709375,18.191875,13.23,14.15
6579,13.92625,12.81625,18.02,13.2375,13.64
6592,13.833125,12.853125,18.084375,13.029375,14.42
6606,13.778125,12.786875,18.20625,13.22875,14.43
6617,13.745,12.815,18.241875,13.198125,14.45
6633,13.573125,12.8,18.35875,13.068125,14.18
6644,13.620625,12.803125,18.265625,12.910625,14.42
6659,13.66,12.80875,18.431875,13.099375,14.65
6672,13.556875,12.654375,18.710625,12.878125,14.81
6684,13.584375,12.57,18.655,12.790625,15.6
6699,13.516875,12.52375,18.703125,12.85625,15.24
6716,13.48,12.54625,18.901875,12.871875,14.36
6727,13.416875,12.55,18.944375,13.08875,14.42
6740,13.495,12.57375,18.791875,13.139375,14.81
6753,13.446875,12.500625,18.945,13.1075,14.65
6766,13.511875,12.511875,18.816875,13.559375,15.04
6781,13.475625,12.603125,18.72125,13.8,14.26
6794,13.603125,12.581875,18.748125,13.866875,14.52
6806,13.765,12.513125,18.633125,13.68875,15.29
6822,14.01125,12.42875,18.621875,13.938125,14.73
6838,13.936875,12.469375,18.68375,13.91,14.49
6851,14.0525,12.514375,18.751875,13.88125,14.24
6867,14.170625,12.570625,18.575,13.68375,13.78
6887,14.18875,12.534375,18.631875,13.845,13.0
6901,14.225,12.54125,18.640625,13.593125,12.94
6920,14.171875,12.62,18.679375,13.72875,12.57
6935,14.199375,12.54125,18.775,13.684375,12.39
6951,14.300625,12.500625,18.72625,13.6725,11.98
6968,14.18125,12.525625,18.85125,13.841875,11.79
6986,14.068125,12.5875,18.62875,13.715625,12.14
7002,14.05125,12.575,18.68,13.69375,11.89
7016,14.0225,12.565,18.680625,13.531875,12.15
7036,14.028125,12.559375,18.703125,13.709375,11.9
7055,13.959375,12.555,18.773125,13.7125,11.45
7068,13.87625,12.47125,18.85,13.6025,11.93
7087,13.955625,12.33625,19.16125,13.546875,11.89
7103,13.96625,12.401875,19.005625,13.62625,11.94
7120,14.0425,12.353125,19.19625,13.608125,11.36
7135,13.920625,12.3925,19.205625,13.48125,12.27
7154,13.954375,12.3725,19.28125,13.591875,12.02
7172,14.084375,12.425625,19.27375,13.81625,11.43
7187,14.168125,12.438125,19.1375,13.85625,12.07
7203,14.214375,12.38375,19.37625,13.825625,11.75
7218,13.984375,12.378125,19.288125,13.949375,12.05
7237,14.0975,12.489375,19.031875,13.98125,11.91
7252,14.064375,12.488125,19.01125,14.03625,11.93
7272,14.068125,12.4825,18.974375,13.875,12.0
7284,14.06125,12.515,18.85875,13.765,12.28
7304,14.01125,12.51625,18.82625,13.84625,11.93
7321,14.165625,12.488125,18.82875,14.1175,11.37
7337,14.118125,12.413125,19.0325,13.83625,11.96
7359,14.143125,12.44,19.00125,13.815625,11.48
7372,14.115,12.468125,18.99,13.826875,11.92
7385,14.08125,12.468125,19.12625,13.724375,11.81
7403,14.1325,12.524375,18.919375,13.62375,11.97
7420,14.199375,12.46875,19.114375,13.4175,12.07
7440,14.296875,12.4325,19.045,13.625625,11.85
7455,14.24875,12.31625,19.1775,13.4575,12.36
7470,14.29375,12.209375,19.244375,13.2525,12.39
7486,14.274375,12.209375,19.24125,13.475,11.52
7505,14.183125,12.22875,19.2575,13.330625,11.68
7522,14.123125,12.31875,19.075625,13.4825,11.84
7541,14.16875,12.2525,18.99875,13.38,11.8
7556,14.14125,12.329375,18.9325,13.596875,11.91
7571,14.101875,12.3425,18.948125,13.8075,11.84
7584,14.145,12.32,18.918125,13.816875,12.4
7600,14.178125,12.370625,18.9425,13.90875,12.42
7611,14.233125,12.35375,19.009375,13.80375,13.17
7628,14.138125,12.25,19.15125,13.860625,13.37
7645,14.173125,12.31125,19.1925,13.923125,13.38
7661,14.23375,12.283125,19.265625,13.8175,13.37
7680,14.21,12.218125,19.38375,13.788125,12.89
7697,14.22,12.15375,19.3775,13.84875,12.3
7712,14.2175,12.12,19.123125,13.539375,11.95
7728,14.219375,12.16875,19.088125,13.32375,11.97
7744,14.115,12.136875,19.168125,13.58,11.99
7760,14.159375,12.13375,19.01625,13.490625,12.01
7777,14.178125,12.19125,18.86875,13.561875,12.32
7789,14.17,12.2025,19.0,13.6275,13.1
7805,14.055625,12.300625,19.0825,13.76125,12.87
7820,14.033125,12.36375,18.951875,13.85125,12.6
7839,14.27375,12.465,18.69125,13.57,12.48
7853,14.241875,12.490625,18.740625,13.526875,12.78
7866,14.078125,12.423125,18.545,13.15375,12.9
7882,14.034375,12.423125,18.615625,13.126875,13.22
7901,13.999375,12.39625,18.6275,13.176875,12.45
7918,14.013125,12.39625,18.705,13.285625,12.19
7938,14.001875,12.46375,18.613125,13.52125,12.1
7959,14.07125,12.480625,18.703125,13.745,11.17
7978,14.203125,12.62125,18.7075,14.068125,10.22
7993,14.338125,12.62,18.655625,13.98625,10.51
8013,14.2725,12.565,18.846875,14.115625,10.56
8028,14.325625,12.453125,18.88625,13.935,10.78
8049,14.32375,12.39125,19.05625,13.82875,11.06
8067,14.245625,12.315625,19.07375,13.765,11.27
8087,14.270625,12.248125,19.24125,13.84,10.92
8102,14.260625,12.294375,19.166875,13.678125,11.1
8118,14.29125,12.410625,18.88125,13.616875,11.35
8141,14.284375,12.455625,18.730625,13.929375,11.01
8163,14.35,12.486875,18.698125,14.065,10.31
8178,14.35125,12.545625,18.705625,13.9975,11.06
8199,14.379375,12.55,18.7675,14.103125,10.39
8215,14.390625,12.465625,18.805,14.13875,10.29
8234,14.353125,12.42625,18.91625,14.304375,10.59
8253,14.33625,12.58625,18.83875,14.23875,10.97
8271,14.320625,12.54125,18.8425,14.295625,10.79
8288,14.320625,12.56375,18.673125,14.4425,10.87
8308,14.331875,12.591875,18.56375,14.5125,10.78
8327,14.331875,12.62,18.466875,14.38125,10.72
8343,14.37375,12.581875,18.429375,14.215,10.83
8364,14.38375,12.5425,18.60875,14.065,10.71
8384,14.365625,12.475,18.818125,13.94125,10.4
8404,14.36125,12.41875,18.846875,13.973125,10.45
8417,14.33875,12.39625,18.979375,14.085625,10.83
8436,14.323125,12.35,19.106875,14.22,10.91
8456,14.296875,12.378125,19.110625,14.214375,10.67
8477,14.260625,12.344375,19.129375,14.265625,10.67
8499,14.2525,12.378125,19.175,14.194375,10.57
8516,14.243125,12.434375,19.211875,14.110625,10.15
8539,14.288125,12.478125,18.998125,14.035625,9.62
8556,14.314375,12.495,18.76625,14.024375,9.81
8573,14.340625,12.545625,18.625625,14.088125,10.5
8589,14.3,12.52875,18.634375,14.136875,11.04
8614,14.305625,12.590625,18.465,14.23875,10.22
8634,14.255,12.5625,18.663125,14.319375,10.23
8649,14.255,12.580625,18.656875,14.1075,10.89
8672,14.199375,12.536875,18.7875,14.27625,10.12
8692,14.208125,12.4975,18.785625,14.30875,9.79
8713,14.223125,12.480625,18.868125,14.228125,10.14
8732,14.243125,12.50875,18.79,14.258125,10.22
8751,14.20125,12.46375,18.873125,14.461875,9.83
8765,14.1875,12.491875,18.898125,14.4225,10.2
8788,14.231875,12.513125,18.78875,14.26625,10.43
8803,14.24875,12.569375,18.700625,14.28125,10.79
8823,14.168125,12.456875,18.901875,14.273125,11.07
